Year,Month,Chinese Entity,Quantity in Millions,Share Size,Transaction Party,Sector,Subsector,Country,Region,OBOR
2009,November,China Communications Construction,$210 ,,,Transport,Aviation,Sri Lanka,West Asia,1
2009,November,State Construction Engineering,$100 ,,,Transport,Rail,United States,USA,0
2009,November,Sinomach,$120 ,,,Energy,Gas,Eq. Guinea,Sub-Saharan Africa,0
2009,November,Sinopec,$160 ,,,Energy,,Kuwait,Arab Middle East and North Africa,1
2009,November,CNOOC,$100 ,,Statoil,Energy,Oil,United States,USA,0
2009,November,CIC,"$1,580 ",15%,AES,Energy,,United States,USA,0
2009,November,BaoSteel,$240 ,15%,Aquila Resources,Metals,Steel,Australia,Australia,0
2009,November,Wuhan Iron and Steel,$400 ,22%,MMX Mineracao,Metals,Steel,Brazil,South America,0
2009,November,Wuhan Iron and Steel,$250 ,15%,Centrex Metals,Metals,Steel,Australia,Australia,0
2009,November,Shougang,$100 ,,Delphi,Transport,Autos,United States,USA,0
2009,November,Great Wall Motor,$120 ,,Litex Motors,Transport,Autos,Bulgaria,Europe,1
2009,December,Sinomach,$310 ,,,Agriculture,,Venezuela,South America,0
2009,December,CNPC,"$3,130 ",,,Energy,Gas,Turkmenistan,West Asia,1
2009,December,Gezhouba,$100 ,,,Energy,Hydro,Mali,Sub-Saharan Africa,0
2009,December,China Poly,$100 ,,,Transport,Autos,Sudan,Arab Middle East and North Africa,0
2009,December,Sinohydro,$170 ,,,Transport,Autos,Bangladesh,West Asia,1
2009,December,China Communications Construction,$500 ,,,Transport,Shipping,Cameroon,Sub-Saharan Africa,0
2009,December,Shunde Rixin and Minmetals,"$1,910 ",70%,,Metals,Steel,Chile,South America,0
